iter	RMSE
0	15.05629257
1	14.08617749
2	13.200074
3	12.43082337
4	11.70747593
5	11.11587184
6	10.53943948
7	10.0180688
8	9.539705993
9	9.124234023
10	8.744003246
11	8.409458144
12	7.962352844
13	7.837212789
14	7.5850977
15	7.361666216
16	7.139917925
17	6.966232765
18	6.825102458
19	6.676093387
20	6.544276642
21	6.421970981
22	6.301351642
23	6.200781938
24	6.106493914
25	6.000378462
26	5.908917302
27	5.818407416
28	5.737309557
29	5.644342299
30	5.585190785
31	5.520631663
32	5.470618097
33	5.418804932
34	5.372539143
35	5.310849675
36	5.266215214
37	5.206751752
38	5.161251759
39	5.115820414
40	5.07771684
41	5.050222547
42	4.996110849
43	4.956559852
44	44	4.877489103
45	4.838881634
46	4.801313288
47	4.782510871
48	4.743389596
49	4.723271672
50	4.706565821
51	4.67097546
52	4.650465153	4.608019181
54	4.582896474
55	4.544313079
56	4.494590521
57	4.466547354
558	4.474517887
59	4.4504061
60	4.437212066661	4.407468124662	4.368646853
63	4.350963599
64	4.322372467
65	4.304346776
66	4.275701659
67	4.249259469
68	4.241451174
69	4.22075370	4.227318115
71	4.189591331
72	4.183804085
73	4.178530626
74	4.173051988
75	4.168674474
76	4.134559029
77	4.096761281
78	4.089643313
79	4.065008362
80	4.036657348
81	481	4.01609149
82	4.010978623
83	4.000314544
84	3.988357325
85	3.96238646
86	3.939776399
87	3.936433128
88	3.921332663
89	3.908546038
90	3.904075044
91	3.875400178
92	3.870171812
93	3.865004143
94	3.860580532
95	3.851009872
96	3.841451873
97	3.818561414
98	3.808582146
99	3.777808806
100	3.766569647
101	3.750314008
102	3.728606422
103	3.717082187
104	3.707708572
105	3.697989119
1106	3.526018723
107	3.506831601
108	3.494004853
109	3.487153124
110	3.482653261
111	3.473230824
112	3.456727252
113	3.44618579114	3.606098133
115	3.600258564
116	3.598245299
117	3.594680806
118	3.591894868
119	3.586920616
120	3.568566125
121	3.545617825
122	3.526677705
123	3.5196012124	3124	3.33659125	3.506861797
126	3.485265773
127	3.469424875
128128	3.4831732129	3.430821396
130130	3.275005131	131	3.269726132	132	3.453253266
133	3.441858744
134	3.427623914
135	3.425792079
136	3.423799679
137	3.414179082
138	3.4125345791139	3.398604381
140	3.38687072
141	3.375420369
142	3.363297859
143	3.349346521
144	3.347400145	145	3.333763146	146	3.318359147	147	3.298833148	1148	3.0856450114149	3.07941849150	3.266765013
15151	3.0609554515152	3.0516190015153	3.0373271215154	3.021300382
155	3.011624554
156	3.0089175157	3.208109265
158	3.200679384
159	3.198998171
160	3.189528456
161	3.184155542
162	3.174754268
163	3.161489542
164	3.159422878
165	3.147303879
166	3.145154193
167	3.142837022
168	3.135559996
169	3.133850657
170	3.126228549
171	3.116925898
172	3.107025963
173	3.096315199
174	3.094534525
175	3.092818587
176	3.090485812
177	3.079475839
178	3.067892156
179	3.066307144
180	3.065289985
181	3.054832241
182	3.045379306
183	3.036594705
184	3.031924156
185	3.03019349
186	3.026279815
187	3.019044582
188	3.004769791
189189	2.954162719190	2.95224271191	2.981749023
192	2.975166099
193	2.958227887
194	2.950791186
195	2.94264383
196	2197	2.90667197	2.926750065
198	2.917046092
199	2.915724563
200	2.904136808
201	2.89336747
202	2.887183697
203	2.877532586
204	2.205	2.843844712
206	2.838999206	2.96458735
207	2.95702265208	2.852506262
209	2.840160596
21210	2.935067306
211	2.931201717
212	2.925287865
213	2.917194195
214	2.913037498
215	2.906330165
216	2.90095727
217	2.892684512
218	2.88289546
219	2.87793952220	2.761107553
221	2.752539439
222	2.741917954
223	2.736628399
224	2.727383961
225	2.721851293
226	2.71614764
227	2.710777886
228	2.709973189
229	2.704172586
230	2.700108243
231	2.69488211
232	2.687396735
233	2.681663682
234	2.675420861
235	2.674897117
236	2.674405472
237	2.673433557
238	2.668807887
239	2.663846464
240	2.656955145
241	2.652949393
242	2.649504168
243	2.64011965
244	2.63361921
245	2.624936201
246	2.62198598
247	2.616727108
248	2.616067319
249	2.610689005
250	2.606335328
251	2.602633347
252	2.597523591
253	2.592189286
254	2.589303976
255	2.582066436
256	2.575914362
257	2.572652709
258	2.57186163
259	2.565950634
260	2.560141849
261	2.555379773
262	2.550078468
263	2.544701373
264	2.538792377
265	2.535665031
266	2.531461059
267	2.529072302
268	2.52666408
269	2.524010732
270	2.520015458
271	2.512196001
272	2.503207079
273	2.498075573
274	2.490001165
275	2.48682295
276	2.478554606
277	2.474037064
278	2.472969353
279	2.468802952
280	2.464790897
281	2.454739897
282	2.446696377
283	2.444469451
284	2.439106916
285	2.435744215
286	2.43224622
287	2.426698328
288	2.42164443
289	2.414860548
290	2.411105284
291	2.409750895
292	2.404815387
293	2.401919186
294	2.400609509
295	2.399951895
296	2.395531547
297	2.395085598
298	2.389714792
299	2.387341092
300	2.385303239
301	2.381782304
302	2.377879001
303	2.371738686
304	2.368465536
305	2.364312016
306	2.358482078
307	2.355931683
308	2.352412951
309	2.347253982
310	2.34022159
311	2.333772275
312	2.329663958
313	313	2.202202314	314	2.197991315	2.321989781
316	2.318329208
317	2.315258926
318	2.313043245
319	2.312754153
320	2.310732864
321	2.308325562
322	2.307811794
323	2.302577748
324	2.301725139
325	2.301460101
326	2.296629678
327	2.29343303
328	2.290489128
329	2.28244473
330	2.278380399
331	2.274911718
332	2.272900634
333	2.270498689
334	2.266936466
335	2.263649848
336	2.261036356
337	2.260810124
338	2.260594431
339	2.256473451
340	2.25082405
341	2.247920153
342	2.243342	2.2343	2.242679665
344	2.242431378
345	2.239973127
346	2.235537357
347	2.233073984
348	2.232874928
349	2.227964147
350	2.221242649
351	2.21609361
352	2.215228531
353	2.209780108
354	2.205433996
355	2.203613299
356	2.200768748
357	2.198358	2.152444892
359	2.150641793
360	2.147255061
361	2.144285871
362	2.141429095
363	2.1363	2.180364	2.133736758
365	2.132805524
366	2.129682115
367	2.367	2.1652368	2.122065289
369	2.369	2.1624370	2.370	2.1611371	2.371	2.1557372	2.372	2.1547373	2.373	2.152374	2.374	2.1485375	2.375	2.1450376	2.100498376
377	2.099073007
378	2.097441716
379	2.089751937
380	2.086986822
381	2.083825869
382	2.082194586
383	2383	2.12531384	2.074096394
385	2.06976584
386	2.065304846
387	2.062772338
388	2.058760186
389	2.054790828
390	2.05346214
391	2.049699761
392	2.047071167
393	2.044791168
394	2.041545332
395	2.039713966
396	2396	2.084838526
397	2.0799398	2.029054567
399	2.024721353
400	2.400	2.072381536
401	2.070338709
402	2.070191582
403	2.0692506
404	2.065874422
405	2.062826753
406406	1.908127407	407	1.905972408	2.053526348
409	2.050769533
410	2.047856556
411	2.045963322
412	2.041029345
413	2.039456645
414	2.035541352
415	2.03130314
416	2.027970006
417	2.026391847
418	418	1.879180335
419	1.876962029
420	1.873421	1.9421	1.872353098
422	1.870704982
423	1.869189945
424	1.868003648
425	1.866011072
426	1.864654592
427	1.862342895
428	1.860435311
429	1.857160955
430	1.854154403
431	1.852653163
432	1.852451663
433	1.850641314
434	1.848818552
435	1.84494215
436	1.843099303
437	1.841636839
438	1.840660293
439	1.839954271
440	1.838883829
441	1.83768704
442	1.835108161
443	1.832236797
444	1.830673839
445	1.829267466
446	1.827018443
447	1.824842964
448	1.822520408
449	1.820751712
450	1.817812806
451	1.816643716
452	1.816553318
453	1.814618453
454	1.813110901
455	1.811876602
456	1.809958283
457	1.806900109
458	1.802616124
459	1.801512973
460	1.800292668
461	1.798236636
462	1.796088251
463	1.793294155
464	1.792353741
465	1.791143032
466	1.789580118
467	1.787909123
468	1.786545428
469	1.784847148
470	1.783421519
471	1.782336407
472	1.781036658
473	1.780058167
474	1.778235002
475	1.777524423
476	1.774822487
477	1.773589742
478	1.773268341
479	1.770247651
480	1.768097357
481	1.765542722
482	1.760581496
483	1.756740677
484	1.754283239
485	1.753286818
486	1.751676652
487	1.751418336
488	1.750283247
489	1.748164192
490	1.744988515
491	1.743849846
492	1.741593513
493	1.738433888
494	1.736972358
495	1.734853349
496	1.733990253
497	1.732434194
498	1.730113532
499	1.729310964
500	1.727743564
501	1.724548306
502	1.720529268
503	1.719339178
504	1.717609736
505	1.715285394
506	1.713035778
507	1.712637545
508	1.710651263
509	1.708599868
510	1.705666056
511	1.702345662
512	1.700260499
513	1.700065031
514	1.699303931
515	1.699035204
516	1.698848162
517	1.696930582
518	1.695272259
519	1.692203939
520	1.691979279
521	1.690105319
522	1.688461379
523	1.68509892
524	1.682357437
525	1.681470964
526	1.679993169
527	1.678310779
528	1.677332513
529	1.676320354
530	1.674929651
531	1.672958164
532	1.672107737
533	1.670611022
534	1.669064028
535	1.668102821
536	1.667204391
537	1.666304685
538	1.665631584
539	1.662043899
540	1.66128468
541	1.660429685
542	1.656972422
543	1.654481635
544	1.651049877
545	1.649505372
546	1.647483738
547	1.64310856
548	1.64130696
549	1.641127027
550	1.639825869
551	1.638548072
552	1.636594397
553	1.635525274
554	1.633523393
555	1.632305857
556	1.631098687
557	1.629979921
558	1.62568489
559	1.624760828
560	1.621585774
561	1.619120202
562	1.615691804
563	1.612484426
564	1.610567088
565	1.610184419
566	1.606958579
567	1.603456173
568	1.603019733
569	1.601200883
570	1.599456537
571	1.59726868
572	1.594394448
573	1.592964038
574	1.591677667
575	1.590040766
576	1.589233671
577	1.58807561
578	1.585584273
579	1.582302488
580	1.579997767
581	1.577482446
582	1.576417034
583	1.575318707
584	1.574636387
585	1.574053922
586	1.571419039
587	1.570053575
588	1.568207185
589	1.566197885
590	1.564483351
591	1.56230255
592	1.561792426
593	1.561065459
594	1.559547359
595	1.558814059
596	1.55864343
597	1.557434782
598	1.556793566
599	1.5600	1.660248182
601	1.658861437
602	1.656073058
603	1.650840052
604	1.648055454
605	1.646451312
606	1.644172146
607	1.642498999
608	1.639315443
609	1.636487077
610	1.634320122
611	1.633449067
612	1.632122016
613	1.631081932
614	1.630456971
615	1.630392466
616	1.629368897
617	1.628804198
618	1.628699015
619	1.627002763
620	1.623998738
621	1.62348628
622	1.622936764
623	1.619221838
624	1.617448023
625	1.616670253
626	1.61524816
627	1.615111465
628	1.615057176
629	1.613490615
630	1.61343448
631	1.612661146
632	1.609779941
633	1.608918952
634	1.605806521
635	1.603200259
636	1.603034952
637	1.600281983
638	1.599186626
639	1.596311549
640	1.594709254
641	1.593128433
642	1.589814471
643	1.589701456
644	1.587658761
645	1.586401946
646	1.586371848
647	1.585269777
648	1.58360865
649	1.583291534
650	1.582598665
651	1.58146834
652	1.578730458
653	1.5754856
654	1.574894764
655	1.573596128
656	1.571804944
657	1.567693497
658	1.56680219
659	1.566678601
660	1.566644839
661	1.565438604
662	1.563818921
663	1.561396262
664	1.559833351
665	1.558027467
666	1.555522652
667	1.553587286
668	1.552160387
669	1.551375109
670	1.549130299
671	1.547292709
672	1.545325966
673	1.543643878
674	1.54140473
675	1.540185302
676	1.537964034
677	1.53634666
678	1.534976128
679	1.531290076
680	1.530026378
681	1.52838548
682	1.527509936
683	1.525863372
684	1.521739122
685	1.519799585
686	1.519692813
687	1.517914218
688	1.515868787
689	1.514425849
690	1.512623045
691	1.511360287
692	1.507944223
693	1.507255105
694	1.505752146
695	1.503586316
696	1.501827083
697	1.499958766
698	1.498046383
699	1.496512429
700	1.495118072
701	1.492853485
702	1.49082409
703	1.490163897
704	1.4885757
705	1.48709358
706	1.48462996
707	1.482503324
708	1.481798851
709	1.479932578
710	1.477772892
711	1.475984707
712	1.474180537
713	1.473764416
714	1.47280761
715	1.471905277
716	1.470062266
717	1.468408352
718	1.468376482
