iter	Passed	Remaining
0	2	4084
1	4	3603
2	5	3472
3	7	3325
4	9	3285
5	10	3217
6	12	3186
7	14	3156
8	20	4003
9	23	4205
10	25	4100
11	26	4002
1212	41	56413	43	5586
14	45	5403
15	47	5244
16	48	5103
17	50	4978
18	51	4858
19	53	4756
20	55	4660
21	56	4574
22	58	4497
23	59	4428
24	61	4363
25	66	4508
26	68	4464
27	73	4659
28	75	4596
29	77	4538
30	78	4478
31	80	4425
32	81	4372
33	83	4324
34	84	4274
35	86	4228
36	87	4184
37	89	4146
38	91	4108
39	93	4099
40	95	4098
41	97	4064
42	98	4033
43	100	4007
44	44	117	4556
45	118	4515
46	120	4475
47	121	4434
48	123	4398
49	124	4363
50	127	4348
51	128	4315
52	130	4253	137	4427
54	139	4402
55	143	4466
56	145	4433
57	146	4404
58	160	4716
59	161	4681
60	163	4645
61	164	4613
62	168	4650
63	170	4616
64	173	4617
65	174	4586
66	176	4559
67	178	4528
68	179	4502
69	181	4474
7070	191	4657
71	193	4628
72	204	4829
73	207	4827
74	209	4801
75	210	4772
76	212	4749
77	214	4720
78	216	4700
79	217	4666
80	244	51881	201	4210
82	202	4191
83	208	4261
84	210	4241
85	212	4221
86	213	4201
87	221	4307
88	226	4341
89	227	4321
90	231	4348
91	233	4329
92	238	4369
93	240	4358
94	242	4338
95	243	4320
96	245	4300
97	246	4281
98	248	4263
99	251	4269
100	253	4251
101	254	4232
102	256	4215
103	258	4216
104	260	4199
105	262	4184
106	326	5157
107	328	5138
108	330	5113
109	332	5099
110	334	5076
111	335	5052
112	337	5029
113	339	5011
114	277	4060
115	279	4045
116	280	4031
117	283	4036
118	287	4054
119	289	4041
120	301	4177
121	303	4162
122	304	4147
12123	354	478124	387	5187
12125	369	49012126	372	49012127	374	488128	337	4363
12129	380	488130	409	5203
131	410	5180
132	351	4392
133	352	4371
134	353	4356
135	355	4340
136	356	4324
137	358	4310
138	360	4295
139	368	4355
140	369	4340
141	371	4326
142	372	4311
143	374	4298
144	375	4283
145	377	4269
146	379	4255
147	380	4242
148	448	4957
149	449	4938
150	389	4251
151	466	5053
152	468	5034
